,number,value,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state,n_clusters
748,748,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.662558043167378,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
754,754,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.48678780891666,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
756,756,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.998654603879674,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
759,759,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.4498142680723,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
760,760,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.265022833150418,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
763,763,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.993806738110528,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
766,766,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.818038438774291,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
770,770,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.80583952544107,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
778,778,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.625907817060792,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
783,783,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.77637502568862,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
784,784,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.37605538658495,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
788,788,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.793425028315824,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
792,792,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.260985456732673,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
